,Residual
0,-211.3308703490282
1,-2.9944279841824937
2,-52.10116332753893
3,-1.3828742559394982
4,-16.97604554239507
5,105.861694637835
6,90.18216306703495
7,12.126916793287009
8,10.390367647571452
9,-66.27876653330276
10,-23.244265989686212
11,-27.624442345181237
12,18.6431750318569
13,-24.255524184637082
14,34.451807534257554
15,-17.089579038192923
16,-48.13237223156969
17,-100.19081035184611
18,8.974345986755225
19,36.421987876002675
20,-2.0287914957963267
21,-16.426463086363924
22,-4.434871370817632
23,-29.558951371200408
24,-23.260241770979064
25,37.90461145203966
26,-23.416070757345494
27,-127.15822143777228
28,-14.221201924864204
29,-52.703568092962826
30,-68.43629681307533
31,9.519257394321244
32,-56.554770847164264
33,-40.99838525159754
34,-41.266697623171126
35,91.73365732709044
36,105.49813939221424
37,-88.44774562794424
38,75.9460690932679
39,-91.08040104189524
40,15.687364892564403
41,8.13187011461332
42,-29.112331928169
43,18.32829858774022
44,-5.049018514250349
45,16.08848306212637
46,20.95731412392938
47,13.279114089823665
48,32.95215299338456
49,65.87591950418665
50,16.97196638910394
51,-81.62492054611398
52,-104.94373577680554
53,23.771054039839726
54,34.75944191109568
55,-15.740472427181487
56,51.50701689373409
57,-0.9071253656888985
58,2.0311038660316285
59,-69.97740426755291
60,24.641190008649687
61,-41.12346779279079
62,-18.25394656009786
63,-38.9812981529476
64,-32.86647620283111
65,223.1450261531544
66,-40.04942542778987
67,17.6917518594703
68,-24.487935017036023
69,32.91054345359481
70,-12.871245096782957
71,33.90398625819387
72,-16.456978165463227
73,43.75308820757789
74,20.61532642322527
75,-76.76583163468325
76,52.792387506709346
77,-68.88879313056749
78,-68.57319221768762
79,79.99305314843298
80,-11.518161276589524
81,-26.720473171881906
82,20.876520012267804
83,-35.65960507811394
84,-23.319962796492746
85,28.212447876520685
86,-45.76275152841896
87,-11.841958553989173
88,-43.41707315969046
89,-43.32428154272071
90,-43.15409226177775
91,44.099368800319326
92,128.22511884368743
93,37.220274503642244
94,-9.906118725812803
95,2.0967256609857827
96,-20.725131333530044
97,-72.49716192045202
98,23.789285603895863
99,34.56889424049295
100,21.728786776500954
101,11.634601748367174
102,-19.8373640282051
103,-1.4442910457719194
104,-22.422114552410264
105,-48.353574641517326
106,-13.01233233164777
107,-3.064982040510415
108,-3.417652534140643
109,-16.03139808723398
110,10.237229141590603
111,-18.23633162050851
112,-17.64630376221305
113,-36.77032358267434
114,-19.667539897523795
115,-44.1026260070239
116,-32.30435714080903
117,17.17914717763881
118,177.8641387740583
119,5.96654581930018
120,-34.63637104308816
121,-9.704447083121423
122,-8.236524410343065
123,25.936819504397363
124,-22.630353822299696
125,28.789817528768822
126,-17.2131552310982
127,11.058093591697954
128,-3.745757000809604
129,-33.30187380548229
130,-59.20877764098971
131,2.5611395119431677
132,-27.721380396245422
133,14.179510397155752
134,-11.765051015157894
135,-13.01594165505594
136,-1.0917930803804552
137,-22.72891652034167
138,-10.936136142288206
139,-33.391106414649244
140,34.90825202713643
141,115.49672222641613
142,84.31332492072637
143,17.082085477470343
144,-63.54835861051771
145,48.734853099269785
146,-97.59402532952402
147,106.01795813469526
148,-48.05835854491056
149,50.329440678708394
150,-29.47416499847769
151,54.32374432294806
152,14.798208553883498
153,24.27278917720973
154,-42.213992293664504
155,13.2152870375849
156,48.50434982519634
157,40.504431598245816
158,70.46428774207054
159,-94.57753224450937
160,-91.81757266039222
161,15.758147998775769
162,-5.693319142961627
163,-2.4719601769992323
164,-15.391419016960128
165,-4.925764753493297
166,3.184441665653935
167,-7.30287577101808
168,-55.11019774153527
169,-33.37749414563035
170,-45.112658615589
171,-48.840744405486134
172,-55.134760609646776
173,-81.44644707334925
174,-23.039610836579925
175,103.20805880967572
176,10.803646314849217
177,23.426454354915407
178,-3.007021444402895
179,37.335716317877655
180,-87.83598283612542
181,25.89440248550028
182,-10.959290821026855
183,-36.84098950628271
184,38.764838261178866
185,-66.76891859294614
186,87.79922912378059
187,-13.741581927094344
188,33.04251315132295
189,-67.3437906410967
190,-29.923734300832677
191,-17.33211127825831
192,48.2929578725591
193,17.87626123446114
194,-25.578939652560678
195,-34.81712921605828
196,-5.248847202600132
197,-12.570371210502458
198,-33.83418213515279
199,-33.87175587512172
200,-15.538935812711372
201,-23.472248234852543
202,125.94297872398033
203,112.19961478945102
204,-12.996318250454976
205,-31.739719615408035
206,6.481082708813176
207,-12.362327012160847
208,-14.732823450190267
209,-7.157911125847605
210,-0.9176104154275464
211,-5.954123033083377
