DATE;latitude;longitude;number;expver;tco3
01/02/1987;-7.07;112.92;0;1;0.0050186357
01/02/1987;-7.07;113.17;0;1;0.005017386
01/02/1987;-7.07;113.42;0;1;0.005017901
01/02/1987;-7.07;113.67;0;1;0.0050176103
01/02/1987;-7.32;111.67;0;1;0.005016051
01/02/1987;-7.32;111.92;0;1;0.0050168615
01/02/1987;-7.32;112.17;0;1;0.0050191367
01/02/1987;-7.32;112.42;0;1;0.0050190603
01/02/1987;-7.32;112.67;0;1;0.0050206333
01/02/1987;-7.32;112.92;0;1;0.0050184736
01/02/1987;-7.32;113.17;0;1;0.005019984
01/02/1987;-7.32;113.42;0;1;0.0050206995
01/02/1987;-7.32;113.67;0;1;0.0050207525
01/02/1987;-7.57;111.67;0;1;0.005012246
01/02/1987;-7.57;111.92;0;1;0.0050155222
01/02/1987;-7.57;112.17;0;1;0.0050161937
01/02/1987;-7.57;112.42;0;1;0.0050050607
01/02/1987;-7.57;112.67;0;1;0.005009437
01/02/1987;-7.57;112.92;0;1;0.0050190175
01/02/1987;-7.57;113.17;0;1;0.005020749
01/02/1987;-7.57;113.42;0;1;0.00502092
01/02/1987;-7.57;113.67;0;1;0.0050209435
01/02/1987;-7.82;111.67;0;1;0.0050106337
01/02/1987;-7.82;111.92;0;1;0.005015091
01/02/1987;-7.82;112.17;0;1;0.0050116684
01/02/1987;-7.82;112.42;0;1;0.0049950723
01/02/1987;-7.82;112.67;0;1;0.004991562
01/02/1987;-7.82;112.92;0;1;0.005004892
01/02/1987;-7.82;113.17;0;1;0.0050111646
01/02/1987;-7.82;113.42;0;1;0.0050107744
01/02/1987;-7.82;113.67;0;1;0.0050075836
01/02/1987;-8.07;111.67;0;1;0.0050192345
01/02/1987;-8.07;111.92;0;1;0.005021873
01/02/1987;-8.07;112.17;0;1;0.005017787
01/02/1987;-8.07;112.42;0;1;0.005005872
01/02/1987;-8.07;112.67;0;1;0.0049953265
01/02/1987;-8.07;112.92;0;1;0.0049956935
01/02/1987;-8.07;113.17;0;1;0.005002735
01/02/1987;-8.07;113.42;0;1;0.0050042327
01/02/1987;-8.07;113.67;0;1;0.0049995417
01/02/1987;-8.32;111.67;0;1;0.00503077
01/02/1987;-8.32;111.92;0;1;0.005031895
01/02/1987;-8.32;112.17;0;1;0.0050308937
01/02/1987;-8.32;112.42;0;1;0.005024691
01/02/1987;-8.32;112.67;0;1;0.0050212992
01/02/1987;-8.32;112.92;0;1;0.0050205747
01/02/1987;-8.32;113.17;0;1;0.0050248196
01/02/1987;-8.32;113.42;0;1;0.005026698
01/02/1987;-8.32;113.67;0;1;0.005022372
01/02/1987;-8.57;111.67;0;1;0.0050402023
01/02/1987;-8.57;111.92;0;1;0.0050405078
01/02/1987;-8.57;112.17;0;1;0.005039525
01/02/1987;-8.57;112.42;0;1;0.0050389096
01/02/1987;-8.57;112.67;0;1;0.005037956
01/02/1987;-8.57;112.92;0;1;0.0050379084
01/02/1987;-8.57;113.17;0;1;0.0050387094
01/02/1987;-8.57;113.42;0;1;0.0050385715
01/02/1987;-8.57;113.67;0;1;0.0050363494
01/03/1987;-6.57;111.67;0;1;0.0051302845
01/03/1987;-6.57;111.92;0;1;0.005129192
01/03/1987;-6.57;112.17;0;1;0.005128119
01/03/1987;-6.57;112.42;0;1;0.005127428
01/03/1987;-6.57;112.67;0;1;0.0051261503
01/03/1987;-6.57;112.92;0;1;0.005124691
01/03/1987;-6.57;113.17;0;1;0.005123346
01/03/1987;-6.57;113.42;0;1;0.005122021
01/03/1987;-6.57;113.67;0;1;0.0051208287
01/03/1987;-6.82;111.67;0;1;0.0051323967
01/03/1987;-6.82;111.92;0;1;0.0051317485
01/03/1987;-6.82;112.17;0;1;0.005131958
01/03/1987;-6.82;112.42;0;1;0.005131481
01/03/1987;-6.82;112.67;0;1;0.005130456
01/03/1987;-6.82;112.92;0;1;0.0051291874
01/03/1987;-6.82;113.17;0;1;0.0051273657
01/03/1987;-6.82;113.42;0;1;0.005125935
01/03/1987;-6.82;113.67;0;1;0.005125067
01/03/1987;-7.07;111.67;0;1;0.005134547
01/03/1987;-7.07;111.92;0;1;0.0051346663
01/03/1987;-7.07;112.17;0;1;0.0051356386
01/03/1987;-7.07;112.42;0;1;0.005135782
01/03/1987;-7.07;112.67;0;1;0.0051347716
01/03/1987;-7.07;112.92;0;1;0.0051325057
01/03/1987;-7.07;113.17;0;1;0.0051307036
01/03/1987;-7.07;113.42;0;1;0.0051306225
01/03/1987;-7.07;113.67;0;1;0.0051298123
01/03/1987;-7.32;111.67;0;1;0.0051375367
01/03/1987;-7.32;111.92;0;1;0.00513799
01/03/1987;-7.32;112.17;0;1;0.005139225
01/03/1987;-7.32;112.42;0;1;0.0051386487
01/03/1987;-7.32;112.67;0;1;0.005139921
01/03/1987;-7.32;112.92;0;1;0.0051370133
01/03/1987;-7.32;113.17;0;1;0.005137069
01/03/1987;-7.32;113.42;0;1;0.0051371166
01/03/1987;-7.32;113.67;0;1;0.005135758
01/03/1987;-7.57;111.67;0;1;0.005137261
01/03/1987;-7.57;111.92;0;1;0.0051404936
01/03/1987;-7.57;112.17;0;1;0.0051400363
01/03/1987;-7.57;112.42;0;1;0.0051293364
01/03/1987;-7.57;112.67;0;1;0.005133651
01/03/1987;-7.57;112.92;0;1;0.0051424587
01/03/1987;-7.57;113.17;0;1;0.005142401
01/03/1987;-7.57;113.42;0;1;0.005140746
01/03/1987;-7.57;113.67;0;1;0.0051392205
01/03/1987;-7.82;111.67;0;1;0.005136421
01/03/1987;-7.82;111.92;0;1;0.0051412126
01/03/1987;-7.82;112.17;0;1;0.0051365066
01/03/1987;-7.82;112.42;0;1;0.0051208017
01/03/1987;-7.82;112.67;0;1;0.0051192334
01/03/1987;-7.82;112.92;0;1;0.005131839
01/03/1987;-7.82;113.17;0;1;0.00513658
01/03/1987;-7.82;113.42;0;1;0.005134292
01/03/1987;-7.82;113.67;0;1;0.0051301187
01/03/1987;-8.07;111.67;0;1;0.0051462287
01/03/1987;-8.07;111.92;0;1;0.0051483894
01/03/1987;-8.07;112.17;0;1;0.005143131
01/03/1987;-8.07;112.42;0;1;0.005131989
01/03/1987;-8.07;112.67;0;1;0.0051233834
01/03/1987;-8.07;112.92;0;1;0.0051240176
01/03/1987;-8.07;113.17;0;1;0.0051297573
01/03/1987;-8.07;113.42;0;1;0.0051299054
01/03/1987;-8.07;113.67;0;1;0.0051245186
01/03/1987;-8.32;111.67;0;1;0.005160257
01/03/1987;-8.32;111.92;0;1;0.0051607955
01/03/1987;-8.32;112.17;0;1;0.0051589506
01/03/1987;-8.32;112.42;0;1;0.0051529724
01/03/1987;-8.32;112.67;0;1;0.0051495368
