,Residual
0,-289.0
1,-11.954488586005766
2,72.23080257897095
3,75.18430117564208
4,34.349905543766454
5,120.17501354004207
6,123.03409489932261
7,-1.3487471204744423
8,-52.669481909722805
9,-115.46235590629186
10,-68.15355687868208
11,-23.012115402404106
12,34.51253389795103
13,0.8481863075662375
14,29.96293452018012
15,-9.971429295328662
16,-67.98142253942171
17,-121.50506898152636
18,-1.6009530332497945
19,84.9860121479694
20,35.3411971369419
21,-22.883210111954583
22,-22.549216478432925
23,-35.865660635854226
24,-29.78909684568353
25,43.3823571248401
26,0.40136562104154905
27,-137.949569212094
28,245.71639996595297
29,-149.1251278845669
30,10.321466608995252
31,40.52206751668632
32,-26.090944117026368
33,-128.32121346008626
34,-108.41577888332154
35,104.23470178309134
36,115.70263576832707
37,-5.793179479633267
38,114.66281931794035
39,-46.7141238521165
40,9.837258745718373
41,45.19179294133261
42,-51.18248723255846
43,43.65269517646877
44,52.50420501274317
45,125.40082282469555
46,24.31723729208568
47,-14.177156718461845
48,40.63609814363281
49,87.37148729437979
50,27.25201069204411
51,-48.990944296214394
52,-83.6788109708977
53,-21.24608311117578
54,50.15671510649503
55,105.72047670109464
56,64.36086325423474
57,47.092818144045225
58,67.3135088969828
59,-67.27941961194625
60,63.45374102846267
61,-69.27426975841382
62,-44.962448059983416
63,-94.60110777372682
64,-97.04058386065049
65,293.36884287900114
66,-59.04669884995252
67,77.72079695690914
68,-34.7947914463939
69,44.02134924179114
70,-9.394650942946043
71,37.32672518448197
72,15.86887365199783
73,90.76053784878948
74,13.961600960918503
75,-95.76870272459928
76,37.03759036113929
77,-91.80809765446264
78,-79.50913298423652
79,128.60986660984736
80,53.03561369718258
81,-56.829385872939156
82,12.571853894718004
83,34.71109862808373
84,-41.74772315768092
85,55.233322516454734
86,-4.997663517630258
87,11.93538483913062
88,-24.089678168662488
89,-49.20992252693708
90,-54.61353711735126
91,18.990427557724104
92,99.2988032108077
93,17.65885038860955
94,-10.96994571503842
95,38.49701836085336
96,-19.539745647596305
97,-75.73826195521588
98,25.24261373142548
99,23.99834285445135
100,46.49997731572236
101,28.541165540532077
102,-33.06386865905222
103,8.526955791537688
104,-49.02852119900692
105,-43.844656062576064
106,2.302169191571835
107,4.772942265722463
108,41.073999214549815
109,-27.379945831527607
110,-2.028499398808151
111,40.64938808893697
112,-20.753846297599694
113,-26.36794978478457
114,21.022706804443374
115,-22.030946304216798
116,-7.613972037751921
117,24.36132559676105
118,183.03137753860824
119,-12.383094011905428
120,-83.13315251403878
121,-35.91488529384446
122,-9.932213281552265
123,49.166798571897004
124,-19.14706203770811
125,41.30433171201503
126,-20.418406102888298
127,-7.834183562782982
128,6.7167009611310675
